"Código Infração","Descrição da Infração","Art.CTB/Decreto","Infrator","Valor Real(R$)","Categoria","Medida Administrativa"
"5266-2","Participar na via, como condutor, de eventos organizados, sem permissão da autoridade de trânsito com circunscrição sobre a via.","174","Condutor","957,70","Gravíssima",""
"5266-3","Participar na via como condutor de exibição e demonstr de perícia com manobra do veículo s/permissão da autoridade de trânsito com circunscrição sobre a via.","174","Condutor","957,70","Gravíssima",""
"5274-1","Utilizar-se do veículo para, em via pública, demonstrar manobra perigosa.","175","Condutor","191,54","Gravíssima",""
"5274-2","Utilizar-se do veículo para, em via pública, demonstrar arrancada brusca.","175","Condutor","191,54","Gravíssima",""
"5274-3","Utilizar-se do veículo para, em via pública, demonstrar derrapagem com deslizamento e arrastamento de pneus.","175","Condutor","191,54","Gravíssima",""
"5274-4","Utilizar-se do veículo para, em via pública, demonstrar frenagem com deslizamento e arrastamento dos pneus.","175","Condutor","191,54","Gravíssima",""
"5282-1","Deixar o condutor envolvido em acidente com vítima de prestar socorro à vítima, podendo fazê-lo.","176, I","Condutor","957,70","Gravíssima",""
"5282-2","Deixar o condutor envolvido em acidente com vítima providenciar socorro, podendo fazê-lo.","176, I","Condutor","957,70","Gravíssima",""
"5290-1","Deixar o condutor envolvido em acidente com vítima de adotar providências podendo fazê-lo, no sentido de evitar perigo para o trânsito no local.","176, II","Condutor","957,70","Gravíssima",""
"5304-1","Deixar o condutor envolvido em acidente com vítima de preservar o local, de forma a facilitar os trabalhos da polícia e da perícia.","176, III","Condutor","957,70","Gravíssima",""
"5312-1","Deixar o condutor envolvido em acidente com vítima de adotar providências para remover o veículo do local, quando determinado por policial.","176, IV","Condutor","957,70","Gravíssima",""
"5312-2","Deixar o condutor, envolvido em acidente com vítima, de adotar providências para remover o veículo do local, quando determinado por agente da autoridade de trânsito.","176, IV","Condutor","957,70","Gravíssima",""
"5320-1","Deixar o condutor envolvido em acidente com vítima de identificar-se ao policial e de lhe prestar informações necessárias à confecção do boletim de ocorrência.","176, V","Condutor","957,70","Gravíssima",""
"5428-1","Estacionar o veículo na pista de rolamento das estradas.","181, V","Condutor","191,54","Gravíssima","remoção do veículo"
"5428-2","Estacionar o veículo na pista de rolamento das rodovias","181, V","Condutor","191,54","Gravíssima","remoção do veículo"
"5428-3","Estacionar o veículo na pista de rolamento das vias de trânsito rápido.","181, V","Condutor","191,54","Gravíssima","remoção do veículo"
"5428-4","Estacionar o veículo na pista de rolamento das vias dotadas de acostamento.","181, V","Condutor","191,54","Gravíssima","remoção do veículo"
"5738-1","Transitar pela contramão de direção em vias com sinalização de regulamentação de sentido único de circulação.","186, II","Condutor","191,54","Gravíssima",""
"5770-1","Deixar dar passagem aos veículos precedidos de batedores quando devidamente identificados p/dispositivos regulament de alarme sonoro e iluminação vermelha intermitentes.","189","Condutor","191,54","Gravíssima",""
"5770-2","Deixar dar passagem aos veículos socorro de incêndio quando em serviço urgência e devidamente identif p/ dispos regulament de alarme sonoro/iluminação vermelha intermit","189","Condutor","191,54","Gravíssima",""
"5770-3","Deixar dar passagem aos veículos de salvamento quando em serviço urgência e devidamente identif p/dispositivos regulament de alarme sonoro/iluminação vermelha intermit.","189","Condutor","191,54","Gravíssima",""
"5770-4","Deixar dar passagem a veículos de polícia quando em serviço urgência e devidamente identif p/dispositivos regulament de alarme sonoro/iluminação vermelha intermit.","189","Condutor","191,54","Gravíssima",""
"5770-5","Deixar dar passagem aos veículos de operação e fisc trâns quando em serviço urgência e devidamente identif p/dispos regulament de alarme sonoro/iluminação vermelha intermit.","189","Condutor","191,54","Gravíssima",""
"5770-6","Deixar dar passagem à ambulância quando em serviço de urgência e devidamente identificados p/dispos regulament de alarme sonoro e iluminação vermelha intermitentes.","189","Condutor","191,54","Gravíssima",""
"5797-1","Forçar passagem entre veículos que, transitando em sentido oposto, estejam na iminência de passar pelo outro ao realizar operação de ultrapassem.","191","Condutor","191,54","Gravíssima",""
"5819-1","Transitar com o veículo em calçadas.","193","Condutor","574,62","Gravíssima",""
"5819-2","Transitar com o veículo em passeios.","193","Condutor","574,62","Gravíssima",""
"5819-3","Transitar com o veículo em passarelas.","193","Condutor","574,62","Gravíssima",""
"5819-4","Transitar com o veículo em ciclovias.","193","Condutor","574,62","Gravíssima",""
"5819-5","Transitar com o veículo em ciclofaixas.","193","Condutor","574,62","Gravíssima",""
"5819-6","Transitar com o veículo em ilhas.","193","Condutor","574,62","Gravíssima",""
"5819-7","Transitar com o veículo em refúgios.","193","Condutor","574,62","Gravíssima",""
"5819-8","Transitar com the veículo em ajardinamentos.","193","Condutor","574,62","Gravíssima",""
"5819-9","Transitar com o veículo em canteiros centrais.","193","Condutor","574,62","Gravíssima",""
"5819-10","Transitar com o veículo em divisores de pista de rolamento.","193","Condutor","574,62","Gravíssima",""
"5819-11","Transitar com o veículo em acostamentos.","193","Condutor","574,62","Gravíssima",""
"5819-12","Transitar com o veículo em marcas de canalização.","193","Condutor","574,62","Gravíssima",""
"5819-13","Transitar com o veículo em gramados públicos.","193","Condutor","574,62","Gravíssima",""
"5819-14","Transitar com o veículo em jardins públicos.","193","Condutor","574,62","Gravíssima",""
